"","pert_iname","mean","n","median","sd","sRGES"
"1509","BRD-K85237725",-0.513445807770961,1,-0.513445807770961,NA,-0.513445807770961
"1510","BRD-K20624574",-0.512722365168838,1,-0.512722365168838,NA,-0.512722365168838
"1511","BRD-K42107428",-0.512696207766786,2,-0.512696207766786,0.35454195609824,-0.512696207766786
"1512","BRD-K48150994",-0.51262835797335,1,-0.51262835797335,NA,-0.51262835797335
"1513","BRD-K46911271",-0.512474983740222,1,-0.512474983740222,NA,-0.512474983740222
"1514","BRD-A72837804",-0.512167689161554,1,-0.512167689161554,NA,-0.512167689161554
"1515","BRD-K47731572",-0.511993837561476,4,-0.479900279279267,0.373133248681657,-0.511993837561476
"1516","BRD-K30563708",-0.511857068146142,4,-0.510881279341428,0.301068202178399,-0.511857068146142
"1517","BRD-K96285502",-0.511758964262748,2,-0.511758964262748,0.149664091380254,-0.511758964262748
"1518","nalidixic-acid",-0.511349693251534,1,-0.511349693251534,NA,-0.511349693251534
"1519","arvanil",-0.511150298900124,7,-0.732310838445808,0.404955870913794,-0.511150298900124
"1520","KU-C104337",-0.511066995417187,12,-0.617382413087935,0.287543630361191,-0.511066995417187
"1521","BRD-K74951051",-0.511006973223131,7,-0.713088480672737,0.422374259166219,-0.511006973223131
"1522","BRD-K01825565",-0.510872442018298,1,-0.510872442018298,NA,-0.510872442018298
"1523","BRD-A05831822",-0.510370626927529,1,-0.510370626927529,NA,-0.510370626927529
"1524","berbamine",-0.510086905961173,9,-0.617280163599182,0.403622479876113,-0.510086905961173
"1525","BRD-K99495107",-0.509952196619525,1,-0.509952196619525,NA,-0.509952196619525
"1526","pentetic-acid",-0.509552631017509,1,-0.509552631017509,NA,-0.509552631017509
"1527","BRD-K29258781",-0.509407499077645,1,-0.509407499077645,NA,-0.509407499077645
"1528","BRD-K01404579",-0.508989663799506,2,-0.508989663799506,0.328621937585421,-0.508989663799506
"1529","BRD-K30658064",-0.508742877400753,1,-0.508742877400753,NA,-0.508742877400753
"1530","BRD-K64551861",-0.508683510363112,1,-0.508683510363112,NA,-0.508683510363112
"1531","BRD-K26016896",-0.508640627912001,1,-0.508640627912001,NA,-0.508640627912001
"1532","BRD-K71612465",-0.508350604494803,2,-0.508350604494803,0.263153104214825,-0.508350604494803
"1533","BRD-K93061442",-0.508018293656356,2,-0.508018293656356,0.268467250269755,-0.508018293656356
