"","log2FoldChange","logCPM","LR","pvalue","padj"
"ENSG00000235887",1.21981942712964,-1.45613488044562,9.76082789432024,0.00178269612655413,1
"ENSG00000226814",-0.0394801595073701,-1.9516169328947,0.0130732449782656,0.908969629033469,1
"ENSG00000261650",-0.714894858016128,-1.81918143118345,3.33908985691228,0.0676520203867999,1
"ENSG00000235108",-2.45327396753942,-1.15563208795706,85.0084227299571,2.97096802298752e-20,2.77636961748184e-16
"ENSG00000012048",0.45826002698048,6.0062820486069,12.5173355569458,0.00040319345956452,1
"ENSG00000253730",0.305941359965551,0.87107038482426,2.87874032100387,0.0897562115586944,1
"ENSG00000249521",0.139897618208792,-1.96770255035899,0.646946272194885,0.421206587341632,1
"ENSG00000259791",0.0733391832758493,-1.97053399421442,0.324235839397657,0.569073111528854,1
"ENSG00000234227",0,-1.97480200150664,0,1,1
"ENSG00000197013",0.702887876272563,5.98980476272331,92.8751828976386,5.56985701454985e-22,5.25070420761614e-18
"ENSG00000265582",0,-1.97480200150664,0,1,1
"ENSG00000169618",-0.427770383441975,0.581321839203997,1.6284378275941,0.201919255154385,1
"ENSG00000259964",-1.3329825669491,0.896274502745874,15.6560713464369,7.59683044343612e-05,0.556771703199433
"ENSG00000259630",-1.23965548504068,-1.34365509657177,19.9892447029784,7.78789811511667e-06,0.059476177905146
"ENSG00000235815",-0.529046987417846,-1.95498995515275,2.68816465452584,0.101096199612418,1
"ENSG00000229389",-1.13911885419879,-1.92489004797027,9.02967617998053,0.00265631532665693,1
"ENSG00000241438",-0.894197055953896,-1.55457398372565,7.16655585528645,0.00742752413285115,1
"ENSG00000268620",0,-1.97480200150664,0,1,1
"ENSG00000260617",0.163984883526191,-1.26123836570199,0.251127728639887,0.616282126122883,1
"ENSG00000277000",0,-1.97480200150664,0,1,1
"ENSG00000179023",3.76071349000334,2.80494163295748,23.0102254743131,1.61142018522033e-06,0.0126141972099047
"ENSG00000167740",0.401722226419895,7.77049118419167,31.3478280726618,2.1569986237858e-08,0.000177391566820144
"ENSG00000213752",0.208303264352168,-1.96283839961533,0.971400012975987,0.324331267756907,1
"ENSG00000221320",0,-1.97480200150664,0,1,1
"ENSG00000206531",0.762587017997603,-1.8066290765958,1.89830757392053,0.16826787774311,1
"ENSG00000200381",0,-1.97480200150664,0,1,1
"ENSG00000164742",-0.231950770587616,8.75793428755214,0.933265209911781,0.334015897207621,1
"ENSG00000267373",-0.120005191153126,-1.93125783282414,0.0854727105277178,0.770013557392247,1
"ENSG00000238018",-1.59044508696882,2.37774571213925,114.971740204306,7.98269894241824e-27,7.66818060408697e-23
"ENSG00000119866",-1.04309499838822,6.02629916868885,15.6059608964648,7.80082834098248e-05,0.571488684260376
"ENSG00000228540",-0.220760498643772,-1.79062627179982,0.312355021448724,0.576238632861714,1
"ENSG00000135002",-0.644695258235871,7.65118892019297,47.1221730637061,6.66968758271207e-12,5.82997391604862e-08
"ENSG00000261194",-0.170234129108874,-1.95750134169691,0.274969325042022,0.600017618997639,1
"ENSG00000235738",0.268201045760125,-1.95988001582876,1.29138585737643,0.255792711814818,1
"ENSG00000100365",0.247400756996325,5.23657173142752,2.53885305143211,0.111075446135296,1
"ENSG00000250958",-1.4613492506336,-1.93185303878085,17.0946831482293,3.5561721746301e-05,0.26447252462724
"ENSG00000169253",-0.207048733412095,-1.89449132427485,0.243644124595903,0.621586436431988,1
"ENSG00000110497",0.81415746656448,7.93284299774119,171.295084946143,3.85756405856375e-39,3.7881279055096e-35
"ENSG00000240708",0.652930829534284,-1.30681802487848,2.21233348420884,0.136911439673823,1
"ENSG00000230611",-0.83735740779942,-1.95531958391366,7.15282101202406,0.00748461692252559,1
"ENSG00000272175",-0.178963983091591,-1.24458473335134,0.348473174628083,0.554978703934824,1
"ENSG00000266364",0.140483087379991,-1.9674777449986,0.647206891722096,0.421113062219062,1
"ENSG00000241119",1.04962134819361,-1.84538300060153,1.48796501905421,0.222532467235134,1
"ENSG00000254534",-0.839255338411056,-1.9544122123435,7.15916783787406,0.00745817899247755,1
"ENSG00000207927",0,-1.97480200150664,0,1,1
"ENSG00000100605",-0.44537562571641,10.8210273384506,28.4086920069455,9.82233188091121e-08,0.000795510659034999
"ENSG00000124374",-2.95311857000939,9.7244459500935,401.737180235756,2.30554910724205e-89,2.30393522286698e-85
"ENSG00000230733",-0.411293885584662,6.98183433730855,16.3993550299829,5.13026833288729e-05,0.378870316383726
"ENSG00000216009",0,-1.97480200150664,0,1,1
"ENSG00000165325",-1.92023335776881,0.0664827549542097,36.8891475033625,1.25040020251528e-09,1.0550876908824e-05
"ENSG00000265863",-0.227088068749328,-1.96066673059839,0.623130660509972,0.429886286589393,1
"ENSG00000234124",0.142608353774168,-1.96658794191646,0.648142277442986,0.420777647845519,1
"ENSG00000160072",-0.567093333095761,6.87487642299753,28.207951624653,1.0895603425641e-07,0.000881890141271385
"ENSG00000271155",0.529763530465036,1.31708500341508,16.4736434045228,4.93311047757353e-05,0.364706763136588
"ENSG00000199293",-0.970906344709941,-1.93044394647254,6.58021106308813,0.0103118664584681,1
"ENSG00000243663",0.529994978103961,-0.803971053944175,4.95766643542717,0.0259752375901733,1
"ENSG00000272006",0.140470368835527,-1.96748590093439,0.647201805171575,0.421114887266159,1
"ENSG00000231672",0.13025836301072,2.34513337116206,0.617690620588405,0.431906762532339,1
"ENSG00000255790",-2.82486762520047,-1.44608739969409,71.11946977659,3.3623561676601e-17,3.09067778931316e-13
"ENSG00000270742",-0.901820309164067,-1.66935106038923,6.96457133932557,0.00831393480682048,1
"ENSG00000226842",0.0711857980738306,-1.9429876961081,0.0388958052262609,0.843655227824362,1
"ENSG00000166455",-0.881138798948187,4.25818852179871,109.232132070138,1.44351068572936e-25,1.3808623219687e-21
"ENSG00000252731",0,-1.97480200150664,0,1,1
"ENSG00000256861",1.48359186368743,0.357042513594487,2.43717010696967,0.118489814845302,1
"ENSG00000270170",0.29936708431506,6.51386998962722,16.7669416256061,4.22632171732778e-05,0.313381755339855
"ENSG00000256045",-2.44118999325093,-1.68761449553323,31.3793768012839,2.12223187926669e-08,0.000174596016707271
"ENSG00000212565",0.0716571781269316,-1.97124740999686,0.323865781828996,0.569293661031897,1
"ENSG00000234336",-1.47059919224586,2.86474696655632,48.8853377295127,2.71371820868919e-12,2.38861476728823e-08
"ENSG00000243187",0,-1.97480200150664,0,1,1
"ENSG00000171681",1.4743696376377,9.32303330158955,201.365454847237,1.05163257415155e-45,1.04038010560813e-41
"ENSG00000241790",7.69008208840579,1.43761188994932,52.6854693175766,3.91476731721245e-13,3.48022814500186e-09
"ENSG00000249752",-0.057077323760389,-1.15536890947203,0.0367136444759524,0.848049237079848,1
"ENSG00000257042",0.267945190550999,-1.00042651007666,0.77447885805941,0.378835038141656,1
"ENSG00000269475",1.77701145029864,-0.842561473449431,22.9018745708002,1.70485508721554e-06,0.0133319667820255
"ENSG00000120742",0.207400181186851,9.68401158198046,9.89782525546599,0.00165474207172346,1
"ENSG00000224860",-0.275951053820013,-1.87357908692727,0.408950261078687,0.522502792757525,1
"ENSG00000181109",1.4977274106336,-1.68243479539797,9.81209028104965,0.00173368347521457,1
"ENSG00000258515",-0.462595149357121,1.61736145307461,8.77822242703598,0.00304848128289897,1
"ENSG00000227515",-0.806518959723105,-1.62387747673471,6.03311962253386,0.0140398984333173,1
"ENSG00000261570",1.11761895354839,-0.935995900757566,15.3131710496797,9.10792619656195e-05,0.664241057515263
"ENSG00000255430",0,-1.97480200150664,0,1,1
"ENSG00000071539",1.56971133860871,4.43702255325087,66.2918210271343,3.88868909859166e-16,3.54998427810432e-12
"ENSG00000120915",-0.77633399765036,6.47987583156776,26.7021553255082,2.37356610081094e-07,0.00190739771861167
"ENSG00000164366",0.362412044230877,7.54952811208442,48.6959003320933,2.98890558448914e-12,2.62904135211664e-08
"ENSG00000260645",-0.394921531997126,3.46094094352242,7.91304890902919,0.00490794832219616,1
"ENSG00000275836",0,-1.97480200150664,0,1,1
"ENSG00000157077",0.014006485370194,8.0889656218694,0.0207674920621059,0.885414156342562,1
"ENSG00000278433",0,-1.97480200150664,0,1,1
"ENSG00000260955",0.219138890448944,-1.64876070948759,0.360206212815882,0.548391732492536,1
"ENSG00000101191",0.391623254039882,8.69486753853267,58.0082566483428,2.61019919206598e-14,2.34813519318255e-10
"ENSG00000173272",-0.535293637500894,7.71583815579834,31.3793364379386,2.12227599916355e-08,0.000174596016707271
"ENSG00000253480",0.185027044072072,-1.59902978458682,0.234871536666901,0.627934949883773,1
"ENSG00000168679",1.45305541782848,6.2020611912539,48.850623913099,2.76217545223942e-12,2.43099061551591e-08
"ENSG00000166736",-3.45868395492692,1.70193679841333,90.2364111664334,2.11336815821445e-21,1.98846810006398e-17
"ENSG00000242545",0.0716571781269316,-1.97124740999686,0.323865781828996,0.569293661031897,1
"ENSG00000261635",0.294883274748582,-1.81518527291016,0.454117791069947,0.500385939889304,1
"ENSG00000151615",0.469612892358198,-0.671621840779628,1.41055676588789,0.234963988934126,1
"ENSG00000165186",-0.212681005527138,6.26157622557589,1.51501740434688,0.218375068445985,1
"ENSG00000228283",0.526344104167525,-0.904590825625827,4.27215723907909,0.0387417167131941,1
"ENSG00000207739",0,-1.97480200150664,0,1,1
"ENSG00000224510",0,-1.97480200150664,0,1,1
"ENSG00000252507",0,-1.97480200150664,0,1,1
"ENSG00000089916",0.48733086851473,8.37892660510414,30.2935962560762,3.71349899393121e-08,0.000303504272773997
"ENSG00000244249",-1.17964516899754,-1.9291758962331,10.2648373222458,0.0013558969273211,1
"ENSG00000126787",5.23982063759276,3.66143942295765,135.768685918558,2.24183055322725e-31,2.17614491801769e-27
"ENSG00000136108",1.48715857620947,7.10540908700684,142.882597871444,6.23591802235535e-33,6.07253697016964e-29
"ENSG00000233822",-0.178627868219431,3.05692554045009,1.28114351965075,0.257686525405842,1
"ENSG00000250458",0,-1.97480200150664,0,1,1
"ENSG00000148660",-0.00405276001934135,9.84746633249479,0.00115249444058918,0.972918291003104,1
"ENSG00000213236",2.56932534003586,0.140101501034941,106.099601743388,7.01207207118553e-25,6.69162037753235e-21
"ENSG00000169777",-1.2325086768193,-1.48667825393478,15.5203811902519,8.16204681983465e-05,0.597380206743698
"ENSG00000258449",-1.39505450897644,-1.83130624104346,9.4685359774865,0.00209026126135038,1
"ENSG00000224687",-0.251889323256558,2.46924136960378,6.45264803466438,0.0110787099621278,1
"ENSG00000226279",-0.412591350091829,-1.68819808074083,1.00499327247883,0.316105291094466,1
"ENSG00000161277",0.51289562394451,5.97818286374291,49.8615368672491,1.64987415575956e-12,1.45584895504224e-08
"ENSG00000277728",-0.713593114650576,0.202430333219528,26.1569272341433,3.14765873647558e-07,0.00251781222330682
"ENSG00000264249",0,-1.97480200150664,0,1,1
"ENSG00000221108",0,-1.97480200150664,0,1,1
"ENSG00000068323",0.114951537193195,9.27967949706164,2.52712365843146,0.111904034783822,1
"ENSG00000176749",0.310807038060776,9.24817908222565,3.73134357464073,0.0534004229446562,1
"ENSG00000260223",-0.827263819676124,-1.95681494185886,7.118512774793,0.00762919682883957,1
"ENSG00000227418",-0.0456965449675312,-1.95113290398157,0.0139755530705017,0.905894735182857,1
"ENSG00000259993",-1.75613440553499,-1.1021139481849,15.5125722180621,8.19583366132956e-05,0.599771107336097
"ENSG00000260377",-0.172876409306446,-1.93561778095306,0.184657157788315,0.667401128167403,1
"ENSG00000129654",0.33982097176423,6.52817143066899,1.44542353562019,0.22926370686975,1
"ENSG00000276788",0.13991523082866,-1.96769533144827,0.646954019000134,0.421203806899522,1
"ENSG00000278584",0,-1.97480200150664,0,1,1
"ENSG00000272478",-1.67334456900543,-1.64182743568698,5.97409179684685,0.0145175560207292,1
"ENSG00000071894",0.401699566080779,9.00561634225233,22.4314677288571,2.17776609015911e-06,0.0169834266608238
"ENSG00000201635",0,-1.97480200150664,0,1,1
"ENSG00000135222",-1.05343581407531,-1.93731408679519,8.5404856027971,0.00347332957036106,1
"ENSG00000253557",0.971046155683869,-1.58547613470397,3.64327520064369,0.0562960862014172,1
"ENSG00000200218",0,-1.97480200150664,0,1,1
"ENSG00000214046",0.358378906039188,8.57456083668767,35.1132533940095,3.11076395615333e-09,2.60744234804772e-05
"ENSG00000263413",0,-1.97480200150664,0,1,1
"ENSG00000265519",-0.666785278479032,0.647320499001057,12.2067751467882,0.000476162723858074,1
"ENSG00000278730",-0.425649464619032,8.70647792770898,29.7050397120315,5.0303872794008e-08,0.000410177778762341
"ENSG00000213747",0.071557110822108,-1.97128330600749,0.323843243387739,0.569307099038582,1
"ENSG00000136828",-0.289279351729837,7.8626598015117,14.6510785513237,0.000129360598362495,0.934630323169027
"ENSG00000203327",-0.33911575950588,-0.434470431215378,2.68624557958066,0.101218051553359,1
"ENSG00000167771",3.6599661776541,8.02405674610691,294.524427624728,5.13748183715286e-66,5.12052814709025e-62
"ENSG00000171914",0.195474683283398,9.14331876816921,2.62509114002836,0.1051864652249,1
"ENSG00000265511",-0.217815420818404,1.48009266388689,2.66621511449108,0.102499518029889,1
"ENSG00000178401",0.107350908972323,4.00174968981729,0.311468482228577,0.576780460943604,1
"ENSG00000258967",-0.794105042745511,-1.00183573591585,6.77729602939968,0.00923246478079223,1
"ENSG00000272968",1.07436641275466,0.704137207353866,28.0125001041912,1.20534332110265e-07,0.0009746406094436
"ENSG00000116793",-0.326723227034292,6.24302585991375,8.259847806089,0.00405315257728492,1
"ENSG00000241188",-0.393064690036253,-1.90696811433631,0.83425228220851,0.361045812242545,1
"ENSG00000125931",0.743529710859794,5.81498181349719,9.19859304928508,0.00242201211490698,1
"ENSG00000128989",-0.27033917617995,10.9672282999994,11.6447942324502,0.000643824553769655,1
"ENSG00000200622",0,-1.97480200150664,0,1,1
"ENSG00000127995",-0.154659922850577,8.26133884576493,3.40134659365555,0.0651432183758157,1
"ENSG00000205858",-1.24168245888923,-1.9044742125622,10.3812214739135,0.00127303446218331,1
"ENSG00000139793",-0.837806284042199,8.97151699926774,65.4046966444561,6.09933610319574e-16,5.55954485806292e-12
"ENSG00000229401",2.24284472382884,-1.72953816640446,20.3439317684166,6.4697937752829e-06,0.0496103786688693
"ENSG00000086730",0.143730465321783,6.8394037778398,0.717921111685627,0.396826669951134,1
"ENSG00000170860",0.480256930753819,7.86119769661812,59.2355966253952,1.39880449033679e-14,1.26046272624248e-10
"ENSG00000089116",3.04888769567696,4.63011004571277,30.7199010556878,2.98092013854603e-08,0.000244286405353847
"ENSG00000225344",-1.08583782915511,-1.93894351054133,9.16401615812526,0.0024682029300999,1
"ENSG00000234175",-0.867585225533785,-0.0923439083250569,25.4175990231204,4.61686977970955e-07,0.00367595171860474
"ENSG00000215845",-0.913524919699013,5.05001533436425,13.3192597281707,0.000262693866809054,1
"ENSG00000253547",-1.32899017925006,-1.93517796705221,14.2108168261666,0.000163428366512763,1
"ENSG00000221204",0,-1.97480200150664,0,1,1
"ENSG00000257243",-0.279298059907137,-0.662581622363386,1.80163532998154,0.179514917125522,1
"ENSG00000232316",0.293699537824941,-1.18080513834539,0.488626399810499,0.484540676635784,1
"ENSG00000230607",-1.09904805697723,-1.75726744711713,8.95409916752425,0.00276847669426303,1
"ENSG00000211955",2.43795222864995,-0.119801642704569,9.42692679387298,0.00213822316828909,1
"ENSG00000212138",0,-1.97480200150664,0,1,1
"ENSG00000277393",0,-1.97480200150664,0,1,1
"ENSG00000254431",-1.35164209334206,-1.71233190359169,15.0974792212355,0.000102099535023121,0.741957321013019
"ENSG00000035720",-0.721314137848756,-0.114614073318164,3.08181055722838,0.0791723454578443,1
"ENSG00000254016",0.49166723112716,-1.81572261456628,1.2630127867032,0.261081580692625,1
"ENSG00000110811",0.129209849670151,6.34256940415768,0.860726565509935,0.353535447260627,1
"ENSG00000207551",0,-1.97480200150664,0,1,1
