"","log2FoldChange","logCPM","LR","pvalue","padj"
"ENSG00000230606",-0.077622632008369,4.26418997759896,0.179836821021695,0.671513511478104,1
"ENSG00000230615",2.54000950722535,0.131054917383934,57.4205756059952,3.51906577299545e-14,3.97795194979406e-10
"ENSG00000230629",-0.691609808773185,1.20787477883747,11.2172455992298,0.000810406867148803,1
"ENSG00000230630",-0.379024642881925,2.91354172432691,4.42726060979732,0.0353692316285872,1
"ENSG00000230638",-0.876166964285843,1.14216072088704,23.9197167165532,1.00437814405074e-06,0.00763930016364991
"ENSG00000230650",0.625128059347028,-0.0269464633141598,7.82243230126767,0.00516017038575108,1
"ENSG00000230715",-1.56703878264174,1.40455820705441,128.429908367783,9.03833798333167e-30,1.37464082388491e-25
"ENSG00000230724",-1.1243883139747,4.39761307285608,68.8936842951605,1.03917079507463e-16,1.26882754078612e-12
"ENSG00000230733",1.39841146361533,3.12813226143217,99.250738109145,2.22473669414467e-23,3.11018189841424e-19
"ENSG00000230795",-1.32824441748222,0.453432057345937,59.0178417567213,1.56248766443953e-14,1.78654839552016e-10
"ENSG00000230797",0.48154963735505,1.33397399261951,22.1888069986283,2.47110218378738e-06,0.0181675432552048
"ENSG00000230798",5.07329677567826,0.84236277279194,105.634680180672,8.86623427492657e-25,1.26725086491525e-20
"ENSG00000230838",6.59840526737954,1.59784763852998,312.568567437427,6.02125315913183e-70,1.06004161866516e-65
"ENSG00000230844",-0.86239516204693,1.66661743664323,74.485041507995,6.10994771399664e-18,7.68631422420777e-14
"ENSG00000230847",-0.554810402460119,-0.158963695567247,2.18704077647868,0.139176481691669,1
"ENSG00000230869",-0.962446818836365,0.430765519792267,44.3584126469636,2.73434449132776e-11,2.75512550946185e-07
"ENSG00000230873",3.17046092465535,3.21888400107623,108.81172507428,1.78456708735341e-25,2.5747733936335e-21
"ENSG00000230882",0.805782031084816,3.54059949336061,20.3414589628716,6.47816011783504e-06,0.0456515943503835
"ENSG00000230937",-1.00551976216275,5.42925081043311,21.7164405339546,3.16070867352317e-06,0.0230257626866163
"ENSG00000230989",1.05597243062321,6.59016180011964,111.29924316157,5.08806128195621e-26,7.4021115529899e-22
"ENSG00000231007",-2.30713020260832,-0.194291427265293,187.253924383971,1.26404477351934e-42,2.09755589717799e-38
"ENSG00000231025",0.87027509261855,3.32208798947667,104.248565716896,1.78462150508135e-24,2.53951640173076e-20
"ENSG00000231028",0.443334711634007,-0.425601475182783,7.56478964433938,0.00595196009347248,1
"ENSG00000231043",1.66745327566031,-0.256094466431062,102.565789612341,4.17277366600238e-24,5.90864751105937e-20
"ENSG00000231064",-0.326146077371976,1.09724524871395,3.43264063744408,0.0639198222696424,1
