"","target","p","padj"
"CHEMBL1770047","CHEMBL1770047",0.344705882352941,1
"CHEMBL1781","CHEMBL1781",0.985117647058824,1
"CHEMBL1782","CHEMBL1782",0.999470588235294,1
"CHEMBL1783","CHEMBL1783",0.159705882352941,1
"CHEMBL1784","CHEMBL1784",1,1
"CHEMBL1785","CHEMBL1785",0.057,1
"CHEMBL1787","CHEMBL1787",1,1
"CHEMBL1790","CHEMBL1790",0.565,1
"CHEMBL1791","CHEMBL1791",0.999764705882353,1
"CHEMBL1792","CHEMBL1792",0.285588235294118,1
"CHEMBL1795091","CHEMBL1795091",0.989,1
"CHEMBL1795117","CHEMBL1795117",0.992941176470588,1
"CHEMBL1795126","CHEMBL1795126",0.999294117647059,1
"CHEMBL1795138","CHEMBL1795138",1,1
"CHEMBL1795139","CHEMBL1795139",0.695176470588235,1
"CHEMBL1795165","CHEMBL1795165",0.998,1
"CHEMBL1795166","CHEMBL1795166",1,1
"CHEMBL1795167","CHEMBL1795167",1,1
"CHEMBL1795171","CHEMBL1795171",0.982352941176471,1
"CHEMBL1795180","CHEMBL1795180",1,1
"CHEMBL1795181","CHEMBL1795181",0.712117647058824,1
"CHEMBL1795195","CHEMBL1795195",0.734352941176471,1
"CHEMBL1798","CHEMBL1798",0.999941176470588,1
"CHEMBL1800","CHEMBL1800",0.957823529411765,1
"CHEMBL1801","CHEMBL1801",0.045,1
"CHEMBL1803","CHEMBL1803",0.116352941176471,1
"CHEMBL1804","CHEMBL1804",1,1
"CHEMBL1805","CHEMBL1805",0.00223529411764706,1
"CHEMBL1806","CHEMBL1806",1,1
"CHEMBL1808","CHEMBL1808",1,1
"CHEMBL1811","CHEMBL1811",0.999882352941176,1
"CHEMBL1821","CHEMBL1821",1,1
"CHEMBL1822","CHEMBL1822",0.993941176470588,1
"CHEMBL1824","CHEMBL1824",0.992882352941176,1
"CHEMBL1825","CHEMBL1825",1,1
"CHEMBL1827","CHEMBL1827",1,1
"CHEMBL1828","CHEMBL1828",1,1
"CHEMBL1829","CHEMBL1829",0.885882352941176,1
"CHEMBL1830","CHEMBL1830",0.656764705882353,1
"CHEMBL1833","CHEMBL1833",1,1
"CHEMBL1835","CHEMBL1835",0.753294117647059,1
"CHEMBL1836","CHEMBL1836",0.985176470588235,1
"CHEMBL1841","CHEMBL1841",1,1
"CHEMBL1844","CHEMBL1844",0.869294117647059,1
"CHEMBL1850","CHEMBL1850",1,1
"CHEMBL1853","CHEMBL1853",0.981176470588235,1
"CHEMBL1854","CHEMBL1854",0.101470588235294,1
"CHEMBL1856","CHEMBL1856",1,1
"CHEMBL1860","CHEMBL1860",1,1
"CHEMBL1861","CHEMBL1861",0.945117647058824,1
"CHEMBL1862","CHEMBL1862",0.980764705882353,1
"CHEMBL1864","CHEMBL1864",1,1
"CHEMBL1865","CHEMBL1865",0.998823529411765,1
"CHEMBL1867","CHEMBL1867",1,1
"CHEMBL1868","CHEMBL1868",0.735588235294118,1
"CHEMBL1870","CHEMBL1870",0.998705882352941,1
"CHEMBL1871","CHEMBL1871",1,1
"CHEMBL1873","CHEMBL1873",0.293,1
"CHEMBL1875","CHEMBL1875",1,1
"CHEMBL1878","CHEMBL1878",1,1
"CHEMBL1881","CHEMBL1881",0.997764705882353,1
"CHEMBL1882","CHEMBL1882",0.999647058823529,1
"CHEMBL1886","CHEMBL1886",1,1
"CHEMBL1889","CHEMBL1889",0.538294117647059,1
"CHEMBL1892","CHEMBL1892",1,1
"CHEMBL1898","CHEMBL1898",0.999647058823529,1
