"","target","p","padj"
"GRIN3B","GRIN3B",0.924470588235294,1
"GRK5","GRK5",0.685941176470588,1
"GRM1","GRM1",0.940470588235294,1
"GRM5","GRM5",0.971588235294118,1
"GSK3A","GSK3A",0.415058823529412,1
"GSK3B","GSK3B",0.788588235294118,1
"GUCY1A3","GUCY1A3",0.883529411764706,1
"HCAR2","HCAR2",1,1
"HCK","HCK",0.687470588235294,1
"HCRTR1","HCRTR1",0.749764705882353,1
"HDAC1","HDAC1",0.00741176470588235,1
"HDAC10","HDAC10",0.00729411764705882,1
"HDAC11","HDAC11",0.00735294117647059,1
"HDAC2","HDAC2",0.008,1
"HDAC4","HDAC4",0.00311764705882353,1
"HDAC5","HDAC5",0.00311764705882353,1
"HDAC6","HDAC6",0.0322352941176471,1
"HDAC7","HDAC7",0.00311764705882353,1
"HDAC8","HDAC8",0.00511764705882353,1
"HDAC9","HDAC9",0.00311764705882353,1
"HIF1A","HIF1A",0.0148823529411765,1
"HIPK2","HIPK2",0.461823529411765,1
"HIPK4","HIPK4",0.389,1
"HKDC1","HKDC1",0.103117647058824,1
"HMGCR","HMGCR",0.998882352941176,1
"HPGD","HPGD",0.981294117647059,1
"HRH1","HRH1",1,1
"HRH2","HRH2",0.993529411764706,1
"HRH3","HRH3",0.786941176470588,1
"HRH4","HRH4",0.850117647058824,1
"HSD17B1","HSD17B1",0.863117647058824,1
"HSD17B2","HSD17B2",0.548647058823529,1
"HSD17B3","HSD17B3",0.991176470588235,1
"HSP90AA1","HSP90AA1",0.382647058823529,1
"HSP90AB1","HSP90AB1",0.386176470588235,1
"HTR1A","HTR1A",0.999647058823529,1
"HTR1B","HTR1B",0.978411764705882,1
"HTR1D","HTR1D",0.996647058823529,1
"HTR1F","HTR1F",0.848058823529412,1
"HTR2A","HTR2A",0.999882352941176,1
"HTR2B","HTR2B",0.999823529411765,1
"HTR2C","HTR2C",1,1
"HTR3A","HTR3A",0.994176470588235,1
"HTR3B","HTR3B",0.885470588235294,1
"HTR3C","HTR3C",0.885470588235294,1
"HTR3D","HTR3D",0.885470588235294,1
"HTR3E","HTR3E",0.885470588235294,1
"HTR4","HTR4",0.802117647058823,1
"HTR5A","HTR5A",0.994352941176471,1
"HTR6","HTR6",0.999470588235294,1
"HTR7","HTR7",0.999882352941176,1
"IDO1","IDO1",0.455470588235294,1
"IGF1R","IGF1R",0.816470588235294,1
"IKBKB","IKBKB",0.253705882352941,1
"IL8","IL8",0.930352941176471,1
"INSR","INSR",0.890647058823529,1
"IRAK1","IRAK1",0.534882352941176,1
"IRAK4","IRAK4",0.844411764705882,1
"ITGB3","ITGB3",0.996823529411765,1
"ITK","ITK",0.921,1
"JAK1","JAK1",0.848823529411765,1
"JAK2","JAK2",0.752941176470588,1
"JAK3","JAK3",0.643588235294118,1
"KARS","KARS",0.520235294117647,1
"KCNA3","KCNA3",0.507882352941176,1
"KCNA5","KCNA5",0.248588235294118,1
"KCNH2","KCNH2",0.999470588235294,1
"KCNJ11","KCNJ11",0.993,1
"KDM4DL","KDM4DL",0.696882352941177,1
"KDR","KDR",0.868882352941176,1
"KIF11","KIF11",0.791352941176471,1
"KIT","KIT",0.586764705882353,1
"LCK","LCK",0.920176470588235,1
"LIMK1","LIMK1",0.781764705882353,1
"LRRK2","LRRK2",0.646823529411765,1
"LTA4H","LTA4H",0.937647058823529,1
"LTK","LTK",0.531176470588235,1
"LYN","LYN",0.739941176470588,1
"MAOA","MAOA",0.992,1
"MAOB","MAOB",0.996882352941176,1
"MAP2K1","MAP2K1",0.895882352941176,1
"MAP2K2","MAP2K2",0.922529411764706,1
"MAP3K10","MAP3K10",0.764882352941176,1
"MAP4K2","MAP4K2",0.759117647058824,1
"MAP4K4","MAP4K4",0.865529411764706,1
"MAP4K5","MAP4K5",0.914235294117647,1
"MAPK1","MAPK1",0.695352941176471,1
"MAPK10","MAPK10",0.377,1
"MAPK11","MAPK11",0.655294117647059,1
"MAPK12","MAPK12",0.687058823529412,1
"MAPK13","MAPK13",0.623411764705882,1
"MAPK14","MAPK14",0.674058823529412,1
"MAPK3","MAPK3",0.802882352941176,1
"MAPK8","MAPK8",0.557176470588235,1
"MAPK9","MAPK9",0.390882352941176,1
"MAPKAPK2","MAPKAPK2",0.0414705882352941,1
"MARK2","MARK2",0.816470588235294,1
